Class	Field	Type
	setColumnWidth(columnWidth)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setIndentLevel(indentLevel)	M
	setRangeBorderTintAndShade(rangeBorderTintAndShade)	M
	setReadingOrder(readingOrder)	M
	setRowHeight(rowHeight)	M
	setShrinkToFit(shrinkToFit)	M
	setTextOrientation(textOrientation)	M
	setUseStandardHeight(useStandardHeight)	M
	setUseStandardWidth(useStandardWidth)	M
	setVerticalAlignment(verticalAlignment)	M
	setWrapText(wrapText)	M
RangeHyperlink		C
	address	P
	documentReference	P
	screenTip	P
	textToDisplay	P
RangeSort		C
	apply(fields	M
RangeUnderlineStyle		C
	double	E
	doubleAccountant	E
	none	E
	single	E
	singleAccountant	E
RangeValue		C
RangeValueType		C
	boolean	E
	double	E
	empty	E
	error	E
	integer	E
	richValue	E
	string	E
	unknown	E
RangeView		C
	getCellAddresses()	M
	getColumnCount()	M
	getFormulas()	M
	getFormulasLocal()	M
	getFormulasR1C1()	M
	getIndex()	M
	getNumberFormat()	M
	getRange()	M
	getRowCount()	M
	getRows()	M
	getText()	M
	getValues()	M
	getValueTypes()	M
	setFormulas(formulas)	M
	setFormulasLocal(formulasLocal)	M
	setFormulasR1C1(formulasR1C1)	M
	setNumberFormat(numberFormat)	M
	setValues(values)	M
ReadingOrder		C
	context	E
	leftToRight	E
	rightToLeft	E
RemoveDuplicatesResult		C
	getRemoved()	M
	getUniqueRemaining()	M
ReplaceCriteria		C
	completeMatch	P
	matchCase	P
RowColumnPivotHierarchy		C
	getFields()	M
	getId()	M
	getName()	M
	getPivotField(name)	M
	getPosition()	M
	setName(name)	M
	setPosition(position)	M
	setToDefault()	M
SearchCriteria		C
	completeMatch	P
	matchCase	P
	searchDirection	P
SearchDirection		C
	backwards	E
	forward	E
Shape		C
	copyTo(destinationSheet)	M
	delete()	M
	getAltTextDescription()	M
	getAltTextTitle()	M
	getAsImage(format)	M
	getConnectionSiteCount()	M
	getFill()	M
	getGeometricShape()	M
	getGeometricShapeType()	M
	getGroup()	M
	getHeight()	M
	getId()	M
	getImage()	M
	getImageAsBase64(format)	M
	getLeft()	M
	getLevel()	M
	getLine()	M
	getLineFormat()	M
	getLockAspectRatio()	M
	getName()	M
	getParentGroup()	M
	getPlacement()	M
	getRotation()	M
	getTextFrame()	M
	getTop()	M
	getType()	M
	getVisible()	M
	getWidth()	M
	getZOrderPosition()	M
	incrementLeft(increment)	M
	incrementRotation(increment)	M
	incrementTop(increment)	M
	scaleHeight(scaleFactor	M
	scaleWidth(scaleFactor	M
	setAltTextDescription(altTextDescription)	M
	setAltTextTitle(altTextTitle)	M
	setGeometricShapeType(geometricShapeType)	M
	setHeight(height)	M
	setLeft(left)	M
	setLockAspectRatio(lockAspectRatio)	M
	setName(name)	M
	setPlacement(placement)	M
	setRotation(rotation)	M
	setTop(top)	M
	setVisible(visible)	M
	setWidth(width)	M
	setZOrder(position)	M
ShapeAutoSize		C
	autoSizeMixed	E
	autoSizeNone	E
	autoSizeShapeToFitText	E
	autoSizeTextToFitShape	E
ShapeFill		C
	clear()	M
	getForegroundColor()	M
	getTransparency()	M
	getType()	M
	setForegroundColor(foregroundColor)	M
	setSolidColor(color)	M
	setTransparency(transparency)	M
ShapeFillType		C
	gradient	E
	mixed	E
	noFill	E
	pattern	E
	pictureAndTexture	E
	solid	E
ShapeFont		C
	getBold()	M
	getColor()	M
	getItalic()	M
	getName()	M
	getSize()	M
	getUnderline()	M
	setBold(bold)	M
	setColor(color)	M
	setItalic(italic)	M
	setName(name)	M
	setSize(size)	M
	setUnderline(underline)	M
ShapeFontUnderlineStyle		C
	dash	E
	dashHeavy	E
	dashLong	E
	dashLongHeavy	E
	dotDash	E
	dotDashHeavy	E
	dotDotDash	E
	dotDotDashHeavy	E
	dotted	E
	dottedHeavy	E
	double	E
	heavy	E
	none	E
	single	E
	wavy	E
	wavyDouble	E
	wavyHeavy	E
ShapeGroup		C
	getGroupShape()	M
	getId()	M
	getShape(key)	M
	getShapes()	M
	ungroup()	M
ShapeLineDashStyle		C
	dash	E
	dashDot	E
	dashDotDot	E
	longDash	E
	longDashDot	E
	longDashDotDot	E
	roundDot	E
	solid	E
	squareDot	E
	systemDash	E
	systemDashDot	E
	systemDot	E
ShapeLineFormat		C
	getColor()	M
	getDashStyle()	M
	getStyle()	M
	getTransparency()	M
	getVisible()	M
	getWeight()	M
	setColor(color)	M
	setDashStyle(dashStyle)	M
	setStyle(style)	M
	setTransparency(transparency)	M
	setVisible(visible)	M
	setWeight(weight)	M
ShapeLineStyle		C
	single	E
	thickBetweenThin	E
	thickThin	E
	thinThick	E
	thinThin	E
ShapeScaleFrom		C
	scaleFromBottomRight	E
	scaleFromMiddle	E
	scaleFromTopLeft	E
ShapeScaleType		C
	currentSize	E
	originalSize	E
ShapeTextHorizontalAlignment		C
	center	E
	distributed	E
	justify	E
	justifyLow	E
	left	E
	right	E
	thaiDistributed	E
ShapeTextHorizontalOverflow		C
	clip	E
	overflow	E
ShapeTextOrientation		C
	eastAsianVertical	E
	horizontal	E
	mongolianVertical	E
	vertical	E
	vertical270	E
	wordArtVertical	E
	wordArtVerticalRTL	E
ShapeTextReadingOrder		C
	leftToRight	E
	rightToLeft	E
ShapeTextVerticalAlignment		C
	bottom	E
	distributed	E
	justified	E
	middle	E
	top	E
ShapeTextVerticalOverflow		C
	clip	E
	ellipsis	E
	overflow	E
ShapeType		C
	geometricShape	E
	group	E
	image	E
	line	E
	unsupported	E
ShapeZOrder		C
	bringForward	E
	bringToFront	E
	sendBackward	E
	sendToBack	E
SheetVisibility		C
	hidden	E
	veryHidden	E
	visible	E
ShowAsCalculation		C
	differenceFrom	E
	index	E
	none	E
	percentDifferenceFrom	E
	percentOf	E
	percentOfColumnTotal	E
	percentOfGrandTotal	E
	percentOfParentColumnTotal	E
	percentOfParentRowTotal	E
	percentOfParentTotal	E
	percentOfRowTotal	E
	percentRunningTotal	E
	rankAscending	E
	rankDecending	E
	runningTotal	E
	unknown	E
ShowAsRule		C
	baseField	P
	baseItem	P
	calculation	P
Slicer		C
	clearFilters()	M
	delete()	M
	getCaption()	M
	getHeight()	M
	getId()	M
	getIsFilterCleared()	M
	getLeft()	M
	getName()	M
	getSelectedItems()	M
	getSlicerItem(key)	M
	getSlicerItems()	M
	getSortBy()	M
	getStyle()	M
	getTop()	M
	getWidth()	M
	getWorksheet()	M
	selectItems(items)	M
	setCaption(caption)	M
	setHeight(height)	M
	setLeft(left)	M
	setName(name)	M
	setSortBy(sortBy)	M
	setStyle(style)	M
	setTop(top)	M
	setWidth(width)	M
SlicerItem		C
	getHasData()	M
	getIsSelected()	M
	getKey()	M
	getName()	M
	setIsSelected(isSelected)	M
SlicerSortType		C
	ascending	E
	dataSourceOrder	E
	descending	E
SlicerStyle		C
	delete()	M
	duplicate()	M
	getName()	M
	getReadOnly()	M
	setName(name)	M
SortBy		C
	ascending	E
	descending	E
SortDataOption		C
	normal	E
	textAsNumber	E
SortField		C
	ascending	P
	color	P
	dataOption	P
	icon	P
	key	P
	sortOn	P
	subField	P
SortMethod		C
	pinYin	E
	strokeCount	E
SortOn		C
	cellColor	E
	fontColor	E
	icon	E
	value	E
SortOrientation		C
	columns	E
	rows	E
SpecialCellType		C
	blanks	E
	conditionalFormats	E
	constants	E
	dataValidations	E
	formulas	E
	sameConditionalFormat	E
	sameDataValidation	E
	visible	E
SpecialCellValueType		C
	all	E
	errors	E
	errorsLogical	E
	errorsLogicalNumber	E
	errorsLogicalText	E
	errorsNumbers	E
	errorsNumberText	E
	errorsText	E
	logical	E
	logicalNumbers	E
	logicalNumbersText	E
	logicalText	E
	numbers	E
	numbersText	E
	text	E
SubtotalLocationType		C
	atBottom	E
	atTop	E
	off	E
Subtotals		C
	automatic	P
	average	P
	count	P
	countNumbers	P
	max	P
	min	P
	product	P
	standardDeviation	P
	standardDeviationP	P
	sum	P
	variance	P
	varianceP	P
Table		C
	addColumn(index	M
	addRow(index	M
	addRows(index	M
	clearFilters()	M
	convertToRange()	M
	delete()	M
	deleteRowsAt(index	M
	getAutoFilter()	M
	getColumn(key)	M
	getColumnById(key)	M
	getColumnByName(key)	M
	getColumns()	M
	getHeaderRowRange()	M
	getHighlightFirstColumn()	M
	getHighlightLastColumn()	M
	getId()	M
	getLegacyId()	M
	getName()	M
	getPredefinedTableStyle()	M
	getRange()	M
	getRangeBetweenHeaderAndTotal()	M
	getRowCount()	M
	getShowBandedColumns()	M
	getShowBandedRows()	M
	getShowFilterButton()	M
	getShowHeaders()	M
	getShowTotals()	M
	getSort()	M
	getTotalRowRange()	M
	getWorksheet()	M
	reapplyFilters()	M
	resize(newRange)	M
	setHighlightFirstColumn(highlightFirstColumn)	M
	setHighlightLastColumn(highlightLastColumn)	M
	setName(name)	M
	setPredefinedTableStyle(predefinedTableStyle)	M
	setShowBandedColumns(showBandedColumns)	M
	setShowBandedRows(showBandedRows)	M
	setShowFilterButton(showFilterButton)	M
	setShowHeaders(showHeaders)	M
	setShowTotals(showTotals)	M
TableColumn		C
	delete()	M
	getFilter()	M
	getHeaderRowRange()	M
	getId()	M
	getIndex()	M
	getName()	M
	getRange()	M
	getRangeBetweenHeaderAndTotal()	M
	getTotalRowRange()	M
	setName(name)	M
TableSort		C
	apply(fields	M
	clear()	M
	getFields()	M
	getMatchCase()	M
	getMethod()	M
	reapply()	M
TableStyle		C
	delete()	M
	duplicate()	M
	getName()	M
	getReadOnly()	M
	setName(name)	M
TextConditionalFormat		C
	getFormat()	M
	getRule()	M
	setRule(rule)	M
TextFrame		C
	deleteText()	M
	getAutoSizeSetting()	M
	getBottomMargin()	M
	getHasText()	M
	getHorizontalAlignment()	M
	getHorizontalOverflow()	M
	getLeftMargin()	M
	getOrientation()	M
	getReadingOrder()	M
	getRightMargin()	M
	getTextRange()	M
	getTopMargin()	M
	getVerticalAlignment()	M
	getVerticalOverflow()	M
	setAutoSizeSetting(autoSizeSetting)	M
	setBottomMargin(bottomMargin)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setHorizontalOverflow(horizontalOverflow)	M
	setLeftMargin(leftMargin)	M
	setOrientation(orientation)	M
	setReadingOrder(readingOrder)	M
	setRightMargin(rightMargin)	M
	setTopMargin(topMargin)	M
	setVerticalAlignment(verticalAlignment)	M
	setVerticalOverflow(verticalOverflow)	M
TextRange		C
	getFont()	M
	getSubstring(start	M
	getText()	M
	setText(text)	M
TimelineStyle		C
	delete()	M
	duplicate()	M
	getName()	M
	getReadOnly()	M
	setName(name)	M
TopBottomConditionalFormat		C
	getFormat()	M
	getRule()	M
	setRule(rule)	M
TopBottomSelectionType		C
	items	E
	percent	E
	sum	E
ValueFilterCondition		C
	between	E
	bottomN	E
	equals	E
	greaterThan	E
	greaterThanOrEqualTo	E
	lessThan	E
	lessThanOrEqualTo	E
	topN	E
	unknown	E
VerticalAlignment		C
	bottom	E
	center	E
	distributed	E
	justify	E
	top	E
Workbook		C
	addBinding(range	M
	addBindingFromNamedItem(name	M
	addBindingFromSelection(bindingType	M
	addComment(cellAddress	M
	addCustomXmlPart(xml)	M
	addNamedItem(name	M
	addNamedItemFormulaLocal(name	M
	addPivotTable(name	M
	addPivotTableStyle(name	M
	addPredefinedCellStyle(name)	M
	addSlicer(slicerSource	M
	addSlicerStyle(name	M
	addTable(address	M
	addTableStyle(name	M
	addTimelineStyle(name	M
	addWorksheet(name)	M
	breakAllLinksToLinkedWorkbooks()	M
	getActiveCell()	M
	getActiveChart()	M
	getActiveSlicer()	M
	getActiveWorksheet()	M
	getApplication()	M
	getAutoSave()	M
	getBinding(id)	M
	getBindings()	M
	getCalculationEngineVersion()	M
	getChartDataPointTrack()	M
	getComment(commentId)	M
	getCommentByCell(cellAddress)	M
	getCommentByReplyId(replyId)	M
	getComments()	M
	getCustomXmlPart(id)	M
	getCustomXmlPartByNamespace(namespaceUri)	M
	getCustomXmlParts()	M
	getCustomXmlPartsByNamespace(namespaceUri)	M
	getDefaultPivotTableStyle()	M
	getDefaultSlicerStyle()	M
	getDefaultTableStyle()	M
	getDefaultTimelineStyle()	M
	getFirstWorksheet(visibleOnly)	M
	getIsDirty()	M
	getLastWorksheet(visibleOnly)	M
	getLinkedWorkbookByUrl(key)	M
	getLinkedWorkbookRefreshMode()	M
	getLinkedWorkbooks()	M
	getName()	M
	getNamedItem(name)	M
	getNames()	M
	getPivotTable(name)	M
	getPivotTables()	M
	getPivotTableStyle(name)	M
	getPivotTableStyles()	M
	getPredefinedCellStyle(name)	M
	getPredefinedCellStyles()	M
	getPreviouslySaved()	M
	getProperties()	M
	getProtection()	M
	getReadOnly()	M
	getSelectedRange()	M
	getSelectedRanges()	M
	getSlicer(key)	M
	getSlicers()	M
	getSlicerStyle(name)	M
	getSlicerStyles()	M
	getTable(key)	M
	getTables()	M
	getTableStyle(name)	M
	getTableStyles()	M
	getTimelineStyle(name)	M
	getTimelineStyles()	M
	getUsePrecisionAsDisplayed()	M
	getWorksheet(key)	M
	getWorksheets()	M
	refreshAllDataConnections()	M
	refreshAllLinksToLinkedWorkbooks()	M
	refreshAllPivotTables()	M
	setChartDataPointTrack(chartDataPointTrack)	M
	setDefaultPivotTableStyle(newDefaultStyle)	M
	setDefaultSlicerStyle(newDefaultStyle)	M
	setDefaultTableStyle(newDefaultStyle)	M
	setDefaultTimelineStyle(newDefaultStyle)	M
	setIsDirty(isDirty)	M
	setLinkedWorkbookRefreshMode(linkedWorkbookRefreshMode)	M
	setUsePrecisionAsDisplayed(usePrecisionAsDisplayed)	M
WorkbookLinksRefreshMode		C
	automatic	E
	manual	E
WorkbookProtection		C
	getProtected()	M
	protect(password)	M
	unprotect(password)	M
WorkbookRangeAreas		C
	getAddresses()	M
	getAreas()	M
	getRangeAreasBySheet(key)	M
	getRanges()	M
Worksheet		C
	activate()	M
	addChart(type	M
	addComment(cellAddress	M
	addGeometricShape(geometricShapeType)	M
	addGroup(values)	M
	addHorizontalPageBreak(pageBreakRange)	M
	addImage(base64ImageString)	M
	addLine(startLeft	M
	addNamedItem(name	M
	addNamedItemFormulaLocal(name	M
	addNamedSheetView(name)	M
	addPivotTable(name	M
	addSlicer(slicerSource	M
	addTable(address	M
	addTextBox(text)	M
	addVerticalPageBreak(pageBreakRange)	M
	addWorksheetCustomProperty(key	M
	calculate(markAllDirty)	M
	copy(positionType	M
	delete()	M
	enterTemporaryNamedSheetView()	M
	exitActiveNamedSheetView()	M
	findAll(text	M
	getActiveNamedSheetView()	M
	getAutoFilter()	M
	getCell(row	M
	getChart(name)	M
	getCharts()	M
	getComment(commentId)	M
	getCommentByCell(cellAddress)	M
	getCommentByReplyId(replyId)	M
	getComments()	M
	getCustomProperties()	M
	getEnableCalculation()	M
	getFreezePanes()	M
	getHorizontalPageBreaks()	M
	getId()	M
	getName()	M
	getNamedItem(name)	M
	getNamedSheetView(key)	M
	getNamedSheetViews()	M
	getNames()	M
	getNext(visibleOnly)	M
	getPageLayout()	M
	getPivotTable(name)	M
	getPivotTables()	M
	getPosition()	M
	getPrevious(visibleOnly)	M
	getProtection()	M
	getRange(address)	M
	getRangeByIndexes(startRow	M
	getRanges(address)	M
	getShape(key)	M
	getShapes()	M
	getShowGridlines()	M
	getShowHeadings()	M
	getSlicer(key)	M
	getSlicers()	M
	getStandardHeight()	M
	getStandardWidth()	M
	getTabColor()	M
	getTable(key)	M
	getTables()	M
	getUsedRange(valuesOnly)	M
	getVerticalPageBreaks()	M
	getVisibility()	M
	getWorksheetCustomProperty(key)	M
	refreshAllPivotTables()	M
	removeAllHorizontalPageBreaks()	M
	removeAllVerticalPageBreaks()	M
	replaceAll(text	M
	setEnableCalculation(enableCalculation)	M
	setName(name)	M
	setPosition(position)	M
	setShowGridlines(showGridlines)	M
	setShowHeadings(showHeadings)	M
	setStandardWidth(standardWidth)	M
	setTabColor(tabColor)	M
	setVisibility(visibility)	M
	showOutlineLevels(rowLevels	M
WorksheetCustomProperty		C
	delete()	M
	getKey()	M
	getValue()	M
	setValue(value)	M
WorksheetFreezePanes		C
	freezeAt(frozenRange)	M
	freezeColumns(count)	M
	freezeRows(count)	M
	getLocation()	M
	unfreeze()	M
WorksheetPositionType		C
	after	E
	before	E
	beginning	E
	end	E
	none	E
WorksheetProtection		C
	getOptions()	M
	getProtected()	M
	protect(options	M
	unprotect(password)	M
WorksheetProtectionOptions		C
	allowAutoFilter	P
	allowDeleteColumns	P
	allowDeleteRows	P
	allowEditObjects	P
	allowEditScenarios	P
	allowFormatCells	P
	allowFormatColumns	P
	allowFormatRows	P
	allowInsertColumns	P
	allowInsertHyperlinks	P
	allowInsertRows	P
	allowPivotTables	P
	allowSort	P
	selectionMode	P
WorksheetSearchCriteria		C
	completeMatch	P
	matchCase	P
